Launch Id,Launch Time,Launch Status,Rocket Name,Rocket Organisation,Location,Launch Year
68,2019-03-02 07:49:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2019
69,2019-01-11 15:31:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2019
73,2019-06-25 06:30:00+00:00,Success,Falcon Heavy,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2019
72,2019-06-12 14:17:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2019
82,2020-05-30 19:22:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020
83,2019-05-04 06:48:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2019
84,2020-06-30 20:10:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020
85,2019-08-06 23:23:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2019
86,2019-04-11 22:35:00+00:00,Success,Falcon Heavy,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2019
89,2019-07-25 22:01:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2019
90,2020-08-30 23:18:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020
92,2019-12-17 00:10:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2019
93,2020-12-13 17:30:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020
94,2021-06-06 04:26:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021
95,2019-12-05 17:29:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2019
96,2021-06-17 16:09:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021
98,2020-03-07 04:50:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020
99,2021-01-08 02:15:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021
100,2020-11-21 17:17:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2020
101,2020-11-05 23:24:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020
104,2021-12-19 03:58:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021
109,2021-06-03 17:29:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021
108,2020-12-06 16:17:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020
119,2019-08-19 12:12:00+00:00,Success,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2019
138,2019-01-19 19:10:00+00:00,Success,Delta IV Heavy,ULA,"SLC-6, Vandenberg SFB, California, USA",2019
139,2020-12-11 01:09:00+00:00,Success,Delta IV Heavy,ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA",2020
140,2021-04-26 20:47:00+00:00,Success,Delta IV Heavy,ULA,"SLC-6, Vandenberg SFB, California, USA",2021
170,2019-12-20 11:36:00+00:00,Success,Atlas V N22,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2019
262,2019-10-11 01:59:00+00:00,Success,Pegasus XL,Northrop,"Stargazer, Cape Canaveral SFS, Florida, USA",2019
361,2021-06-15 13:35:00+00:00,Success,Minotaur I,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",2021
366,2019-12-26 23:11:00+00:00,Success,Rokot/Briz KM,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",2019
372,2019-04-17 20:46:00+00:00,Success,Antares 230,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2019
373,2019-11-02 13:59:00+00:00,Success,Antares 230+,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2019
374,2019-11-13 03:40:00+00:00,Success,Kuaizhou 1A,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2019
382,2019-02-21 16:47:00+00:00,Success,Soyuz 2.1b/Fregat-M,VKS RF,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019
383,2021-02-28 06:55:00+00:00,Success,Soyuz 2.1b/Fregat-M,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021
384,2019-07-05 05:41:00+00:00,Success,Soyuz 2.1b/Fregat-M,Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia",2019
387,2019-08-08 10:13:00+00:00,Success,Atlas V 551,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2019
388,2020-03-26 20:18:00+00:00,Success,Atlas V 551,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2020
389,2020-02-10 04:03:00+00:00,Success,Atlas V 411,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2020
390,2021-12-07 10:19:00+00:00,Success,Atlas V 551,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2021
391,2020-05-17 13:14:00+00:00,Success,Atlas V 501,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2020
400,2020-11-13 22:32:00+00:00,Success,Atlas V 531,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2020
399,2020-07-30 11:50:00+00:00,Success,Atlas V 541,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2020
401,2021-09-27 18:12:00+00:00,Success,Atlas V 401,ULA,"SLC-3E, Vandenberg SFB, California, USA",2021
406,2019-03-22 01:50:00+00:00,Success,Vega,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2019
407,2020-09-03 01:51:00+00:00,Success,Vega,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2020
409,2020-11-17 01:52:00+00:00,Failure,Vega,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2020
411,2019-07-11 01:53:00+00:00,Failure,Vega,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2019
412,2020-12-02 01:33:00+00:00,Success,Soyuz ST-A/Fregat-M,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2020
414,2021-04-29 01:50:00+00:00,Success,Vega,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2021
415,2021-11-16 09:27:00+00:00,Success,Vega,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2021
426,2019-06-20 21:43:00+00:00,Success,Ariane 5 ECA,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2019
428,2019-08-06 19:30:00+00:00,Success,Ariane 5 ECA,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2019
429,2019-11-26 21:23:00+00:00,Success,Ariane 5 ECA,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2019
430,2021-07-30 21:00:00+00:00,Success,Ariane 5 ECA,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2021
431,2020-02-18 22:18:00+00:00,Success,Ariane 5 ECA,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2020
436,2020-08-15 22:04:00+00:00,Success,Ariane 5 ECA,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2020
434,2020-01-16 21:05:00+00:00,Success,Ariane 5 ECA,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2020
439,2021-12-25 12:20:00+00:00,Success,Ariane 5 ECA,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2021
441,2021-10-24 02:10:00+00:00,Success,Ariane 5 ECA,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2021
461,2019-01-18 00:50:00+00:00,Success,Epsilon PBS,JAXA,"Mu Pad, Uchinoura Space Center, Japan",2019
462,2021-11-09 00:55:00+00:00,Success,Epsilon PBS,JAXA,"Mu Pad, Uchinoura Space Center, Japan",2021
463,2019-09-24 16:05:00+00:00,Success,H-IIB,MHI,"LA-Y2, Tanegashima Space Center, Japan",2019
542,2019-12-18 08:54:00+00:00,Success,Soyuz ST-A/Fregat-M,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2019
561,2019-03-16 00:26:00+00:00,Success,"Delta IV Medium+ (5,4)",ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA",2019
562,2019-08-22 13:06:00+00:00,Success,"Delta IV Medium+ (4,2)",ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA",2019
618,2019-07-22 09:13:00+00:00,Success,GSLV Mk III,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2019
625,2019-02-22 01:45:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2019
661,2019-09-22 21:10:00+00:00,Success,Long March 3B/YZ-1,CASC,"LC-2, Xichang Satellite Launch Center, China",2019
662,2019-12-16 07:22:00+00:00,Success,Long March 3B/YZ-1,CASC,"LC-3, Xichang Satellite Launch Center, China",2019
666,2019-12-24 12:03:00+00:00,Success,Proton-M/DM-3,Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2019
704,2020-05-25 19:50:00+00:00,Failure,LauncherOne,Virgin Orbit,"Cosmic Girl, Mojave Air and Space Port, California, USA",2020
750,2019-02-05 21:01:00+00:00,Success,Ariane 5 ECA,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2019
779,2019-10-09 10:17:00+00:00,Success,Proton-M/Briz-M,International Launch Services,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2019
813,2019-04-01 03:57:00+00:00,Success,PSLV-QL,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2019
814,2019-12-11 09:55:00+00:00,Success,PSLV-QL,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2019
815,2020-11-07 09:41:00+00:00,Success,PSLV-DL,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2020
816,2019-01-24 18:07:00+00:00,Success,PSLV-DL,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2019
818,2019-02-27 21:37:00+00:00,Success,Soyuz ST-B/Fregat-M,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2019
817,2019-11-27 03:58:00+00:00,Success,PSLV-XL,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2019
824,2019-11-03 03:22:00+00:00,Success,Long March 4B,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019
825,2019-12-27 12:45:00+00:00,Success,Long March 5,CASC,"LC-101, Wenchang Satellite Launch Center, China",2019
903,2019-04-04 11:01:00+00:00,Success,Soyuz 2.1a,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019
904,2019-07-31 12:10:00+00:00,Success,Soyuz 2.1a,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019
905,2019-12-06 09:34:00+00:00,Success,Soyuz 2.1a,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019
906,2020-04-25 01:51:00+00:00,Success,Soyuz 2.1a,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020
911,2020-10-25 19:08:00+00:00,Success,Soyuz 2.1b/Fregat-M,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2020
912,2019-07-30 05:57:00+00:00,Success,Soyuz 2.1a/Fregat-M,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2019
914,2021-01-17 19:38:00+00:00,Success,LauncherOne,Virgin Orbit,"Cosmic Girl, Mojave Air and Space Port, California, USA",2021
919,2020-12-29 16:42:00+00:00,Success,Soyuz ST-A/Fregat-M,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2020
930,2020-02-06 21:42:00+00:00,Success,Soyuz 2.1b/Fregat,Starsem,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020
939,2019-03-14 19:14:00+00:00,Success,Soyuz FG,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2019
940,2019-07-20 16:28:00+00:00,Success,Soyuz FG,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2019
942,2019-08-22 03:38:00+00:00,Success,Soyuz 2.1a,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019
943,2019-09-25 13:57:00+00:00,Success,Soyuz FG,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2019
944,2020-04-09 08:05:00+00:00,Success,Soyuz 2.1a,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020
946,2019-11-04 17:43:00+00:00,Success,Long March 3B/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2019
947,2019-07-13 12:30:00+00:00,Success,Proton-M/DM-3,Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2019
948,2021-06-30 14:47:00+00:00,Success,LauncherOne,Virgin Orbit,"Cosmic Girl, Mojave Air and Space Port, California, USA",2021
951,2019-04-20 14:41:00+00:00,Success,Long March 3B/E,CASC,"LC-3, Xichang Satellite Launch Center, China",2019
949,2021-08-12 00:13:00+00:00,Failure,GSLV Mk II,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2021
952,2020-05-05 10:00:00+00:00,Success,Long March 5B,CASC,"LC-101, Wenchang Satellite Launch Center, China",2020
956,2020-11-23 20:30:00+00:00,Success,Long March 5,CASC,"LC-101, Wenchang Satellite Launch Center, China",2020
958,2019-12-20 03:22:00+00:00,Success,Long March 4B,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019
959,2021-11-24 13:06:00+00:00,Success,Soyuz 2.1b,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021
963,2019-09-12 03:26:00+00:00,Success,Long March 4B,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019
972,2021-08-17 01:47:00+00:00,Success,Vega,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2021
977,2019-05-30 17:42:00+00:00,Success,Proton-M/Briz-M,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2019
985,2020-05-29 20:13:00+00:00,Success,Long March 11,CASC,"Xichang Satellite Launch Center, China",2020
1002,2020-11-16 00:27:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020
1012,2021-07-21 14:58:00+00:00,Success,Proton-M,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2021
1016,2021-03-25 02:47:00+00:00,Success,Soyuz 2.1b/Fregat,Starsem,"Site 1S, Vostochny Cosmodrome, Russia",2021
1017,2019-05-27 06:23:00+00:00,Success,Soyuz 2.1b/Fregat-M,Roscosmos,"Site 43/4, Plesetsk Cosmodrome, Russia",2019
1018,2019-08-05 21:56:00+00:00,Success,Proton-M/Briz-M,Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2019
1019,2019-08-30 14:00:00+00:00,Success,Rokot/Briz KM,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",2019
1020,2020-09-28 11:20:00+00:00,Success,Soyuz 2.1b/Fregat,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2020
1022,2020-07-30 21:25:00+00:00,Success,Proton-M/Briz-M,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2020
1025,2020-12-14 05:50:00+00:00,Success,Angara A5/Briz-M,VKS RF,"Site 35/1, Plesetsk Cosmodrome, Russia",2020
1026,2019-04-04 17:04:00+00:00,Success,Soyuz ST-B/Fregat-MT,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2019
1027,2020-02-09 01:34:00+00:00,Success,H-IIA 202,MHI,"LA-Y1, Tanegashima Space Center, Japan",2020
1057,2019-01-21 05:42:00+00:00,Success,Long March 11,CASC,"Site 95, Jiuquan Satellite Launch Center, China",2019
1060,2019-01-10 17:11:00+00:00,Success,Long March 3B/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2019
1070,2019-01-15 00:30:00+00:00,Failure,Simorgh,Iranian Space Agency,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2019
1071,2019-03-28 23:27:00+00:00,Success,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2019
1072,2019-02-05 21:01:00+00:00,Failure,Safir-1B+,Iranian Space Agency,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2019
1074,2019-03-09 16:28:00+00:00,Success,Long March 3B/E,CASC,"LC-3, Xichang Satellite Launch Center, China",2019
1075,2019-09-19 06:42:00+00:00,Success,Long March 11,CASC,"Site 95, Jiuquan Satellite Launch Center, China",2019
1076,2021-10-16 09:34:00+00:00,Success,Atlas V 401,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2021
1127,2021-09-03 01:59:00+00:00,Failure,Firefly Alpha,Firefly,"SLC-2W, Vandenberg SFB, California, USA",2021
1128,2019-03-31 15:51:00+00:00,Success,Long March 3B/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2019
1147,2021-05-18 17:37:00+00:00,Success,Atlas V 421,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2021
1164,2019-03-27 09:39:00+00:00,Failure,OS-M1,OneSpace,"Site 95, Jiuquan Satellite Launch Center, China",2019
1169,2019-05-24 02:30:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2019
1260,2020-07-15 13:46:00+00:00,Success,Minotaur IV,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",2020
1265,2019-12-06 08:18:00+00:00,Success,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2019
1325,2019-05-05 06:00:00+00:00,Success,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2019
1326,2021-08-05 16:30:00+00:00,Success,Long March 3B/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2021
1361,2021-04-25 22:14:00+00:00,Success,Soyuz 2.1b/Fregat,Starsem,"Site 1S, Vostochny Cosmodrome, Russia",2021
1373,2021-11-24 06:21:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2021
1494,2019-06-05 04:06:00+00:00,Success,Long March 11H,CASC,"Tai Rui Barge, Yellow Sea",2019
1510,2019-05-22 00:00:00+00:00,Success,PSLV-CA,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2019
1511,2019-05-22 22:49:00+00:00,Failure,Long March 4C,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019
1513,2019-04-29 22:52:00+00:00,Success,Long March 4B,CASC,"Taiyuan Satellite Launch Center, China",2019
1519,2019-07-25 05:00:00+00:00,Success,Hyperbola-1,i-Space,"Site 95, Jiuquan Satellite Launch Center, China",2019
1521,2019-06-29 04:30:00+00:00,Success,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2019
1548,2019-05-17 15:48:00+00:00,Success,Long March 3C/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2019
1549,2019-08-17 04:11:00+00:00,Success,Jielong-1,CASC,"Site 95, Jiuquan Satellite Launch Center, China",2019
1693,2020-07-20 21:30:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020
1694,2019-11-11 14:56:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2019
1695,2020-01-07 02:19:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020
1912,2020-04-09 11:46:00+00:00,Failure,Long March 3B/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2020
1913,2020-07-23 04:41:00+00:00,Success,Long March 5,CASC,"LC-101, Wenchang Satellite Launch Center, China",2020
1923,2020-12-18 12:26:00+00:00,Success,Soyuz 2.1b/Fregat,Starsem,"Site 1S, Vostochny Cosmodrome, Russia",2020
1983,2019-06-24 18:09:00+00:00,Success,Long March 3B/E,CASC,"LC-3, Xichang Satellite Launch Center, China",2019
2021,2019-07-26 03:57:00+00:00,Success,Long March 2C,CASC,"LC-3, Xichang Satellite Launch Center, China",2019
2173,2021-12-09 06:00:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021
2202,2019-07-10 17:14:00+00:00,Success,Soyuz 2.1v/Volga,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2019
2284,2020-07-09 12:11:00+00:00,Success,Long March 3B/E,CASC,"LC-3, Xichang Satellite Launch Center, China",2020
2285,2020-11-06 03:19:00+00:00,Success,Long March 6,CASC,"LC-16, Taiyuan Satellite Launch Center, China",2020
2286,2019-08-19 12:03:00+00:00,Success,Long March 3B/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2019
2287,2019-12-07 02:55:00+00:00,Success,Kuaizhou 1A,ExPace,"Taiyuan Satellite Launch Center, China",2019
2288,2019-08-29 00:00:00+00:00,Prelaunch Failure,Safir-1B+,Iranian Space Agency,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2019
2403,2021-01-24 15:00:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021
2404,2021-06-30 19:31:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021
2407,2019-08-30 23:41:00+00:00,Success,Kuaizhou 1A,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2019
2408,2020-10-14 05:45:00+00:00,Success,Soyuz 2.1a,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020
2410,2020-02-15 20:21:00+00:00,Success,Antares 230+,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2020
2411,2020-05-20 17:31:00+00:00,Success,H-IIB,MHI,"LA-Y2, Tanegashima Space Center, Japan",2020
2550,2021-06-17 01:22:00+00:00,Success,Long March 2F/G,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",2021
2551,2020-07-23 14:26:00+00:00,Success,Soyuz 2.1a,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020
2556,2021-09-20 07:10:00+00:00,Success,Long March 7,CASC,"LC-201, Wenchang Satellite Launch Center, China",2021
2557,2021-05-29 12:55:00+00:00,Success,Long March 7,CASC,"LC-201, Wenchang Satellite Launch Center, China",2021
2558,2021-10-15 16:23:00+00:00,Success,Long March 2F/G,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",2021
2561,2021-03-22 06:07:00+00:00,Success,Soyuz 2.1a/Fregat-M,GK LS,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021
2568,2020-01-29 14:06:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020
2569,2020-02-17 15:05:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020
2570,2020-03-18 12:16:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020
2571,2020-04-22 19:30:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020
2572,2020-06-04 01:25:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020
2574,2020-08-07 05:12:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020
