Launch Id,Launch Time,Launch Status,Rocket Name,Rocket Organisation,Location,Launch Year
2573,2020-06-13 09:21:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020
2575,2020-08-18 14:31:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020
2577,2020-10-06 11:29:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020
2576,2020-09-03 12:46:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020
2578,2020-10-18 12:25:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020
2579,2020-10-24 15:31:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020
2603,2019-12-07 08:52:00+00:00,Success,Kuaizhou 1A,ExPace,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2019
2605,2020-06-13 05:12:00+00:00,Success,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2020
2606,2019-09-26 07:46:00+00:00,Success,Soyuz 2.1b/Fregat,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2019
2607,2021-07-29 06:00:00+00:00,Success,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2021
2608,2019-09-25 00:54:00+00:00,Success,Long March 2D,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2019
2609,2019-10-04 18:51:00+00:00,Success,Long March 4C,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019
2610,2019-10-17 01:22:00+00:00,Success,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2019
2611,2019-10-17 15:21:00+00:00,Success,Long March 3B/E,CASC,"LC-3, Xichang Satellite Launch Center, China",2019
2612,2019-12-11 08:54:00+00:00,Success,Soyuz 2.1b/Fregat,VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia",2019
2614,2020-10-03 01:16:00+00:00,Success,Antares 230+,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2020
2620,2019-11-17 10:00:00+00:00,Success,Kuaizhou 1A,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2019
2621,2019-11-23 00:55:00+00:00,Success,Long March 3B/YZ-1,CASC,"LC-3, Xichang Satellite Launch Center, China",2019
2622,2019-11-13 06:35:00+00:00,Success,Long March 6,CASC,"LC-16, Taiyuan Satellite Launch Center, China",2019
2623,2019-11-25 17:52:00+00:00,Success,Soyuz 2.1v/Volga,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2019
2624,2019-11-27 23:52:00+00:00,Success,Long March 4C,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019
2663,2021-02-20 17:36:00+00:00,Success,Antares 230+,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2021
2664,2020-01-16 03:02:00+00:00,Success,Kuaizhou 1A,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2020
2665,2020-05-12 01:16:00+00:00,Success,Kuaizhou 1A,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2020
2666,2020-01-15 02:53:00+00:00,Success,Long March 2D,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020
2667,2020-12-22 04:37:00+00:00,Success,Long March 8,CASC,"LC-201, Wenchang Satellite Launch Center, China",2020
2670,2020-11-25 02:13:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020
2671,2021-01-20 13:02:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021
2672,2021-03-04 08:24:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021
2674,2021-02-16 03:59:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021
2673,2021-02-04 06:19:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021
2675,2021-03-11 08:13:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021
2676,2021-03-14 10:01:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021
2677,2021-03-24 08:28:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021
2678,2021-04-07 16:34:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021
2679,2021-04-29 03:44:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021
2680,2021-05-04 19:01:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021
2681,2021-05-15 22:56:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021
2723,2020-07-19 21:58:00+00:00,Success,H-IIA 202,JAXA,"LA-Y1, Tanegashima Space Center, Japan",2020
2728,2020-03-16 18:28:00+00:00,Success,Soyuz 2.1b/Fregat-M,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2020
2803,2021-04-29 03:23:00+00:00,Success,Long March 5B,CASC,"LC-101, Wenchang Satellite Launch Center, China",2021
2895,2020-03-16 13:34:00+00:00,Failure,Long March 7A,CASC,"LC-201, Wenchang Satellite Launch Center, China",2020
2910,2020-02-09 15:48:00+00:00,Failure,Simorgh,Iranian Space Agency,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2020
2911,2020-01-07 15:20:00+00:00,Success,Long March 3B/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2020
2922,2021-02-15 04:45:00+00:00,Success,Soyuz 2.1a,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021
2930,2020-02-20 08:24:00+00:00,Success,Soyuz 2.1a/Fregat-M,VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia",2020
2950,2020-03-21 17:06:00+00:00,Success,Soyuz 2.1b/Fregat,Starsem,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020
2951,2021-08-21 22:13:00+00:00,Success,Soyuz 2.1b/Fregat,Starsem,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021
2952,2021-05-28 17:38:00+00:00,Success,Soyuz 2.1b/Fregat,Starsem,"Site 1S, Vostochny Cosmodrome, Russia",2021
2953,2021-07-01 12:48:00+00:00,Success,Soyuz 2.1b/Fregat,Starsem,"Site 1S, Vostochny Cosmodrome, Russia",2021
2955,2021-12-27 13:10:00+00:00,Success,Soyuz 2.1b/Fregat,Starsem,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021
2954,2021-09-14 18:07:00+00:00,Success,Soyuz 2.1b/Fregat,Starsem,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021
2956,2021-10-14 09:40:00+00:00,Success,Soyuz 2.1b/Fregat,Starsem,"Site 1S, Vostochny Cosmodrome, Russia",2021
2967,2020-02-19 21:07:00+00:00,Success,Long March 2D,CASC,"LC-3, Xichang Satellite Launch Center, China",2020
2969,2021-04-09 07:42:00+00:00,Success,Soyuz 2.1a,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021
2970,2021-10-05 08:55:00+00:00,Success,Soyuz 2.1a,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021
2971,2021-12-08 07:38:00+00:00,Success,Soyuz 2.1a,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021
2976,2021-06-29 23:27:00+00:00,Success,Soyuz 2.1a,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021
3078,2020-07-10 04:17:00+00:00,Failure,Kuaizhou 11,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2020
3081,2020-01-31 02:56:00+00:00,Success,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2020
3438,2020-09-12 03:19:00+00:00,Failure,Rocket 3,Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA",2020
3506,2020-11-07 07:12:00+00:00,Success,Ceres-1,Galactic Energy,"Site 95, Jiuquan Satellite Launch Center, China",2020
3947,2020-03-09 11:55:00+00:00,Success,Long March 3B/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2020
3948,2020-06-23 01:43:00+00:00,Success,Long March 3B/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2020
3952,2020-09-04 07:30:00+00:00,Success,Long March 2F/T,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",2020
3985,2020-03-24 03:43:00+00:00,Success,Long March 2C,CASC,"LC-3, Xichang Satellite Launch Center, China",2020
4086,2021-12-22 15:32:00+00:00,Success,H-IIA 204,MHI,"LA-Y1, Tanegashima Space Center, Japan",2021
4091,2020-12-03 01:14:00+00:00,Success,Soyuz 2.1b/Fregat-M,VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia",2020
4090,2021-12-05 00:19:00+00:00,Success,Soyuz ST-B/Fregat-MT,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2021
4093,2020-05-22 07:31:00+00:00,Success,Soyuz 2.1b/Fregat-M,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2020
4094,2021-06-25 19:50:00+00:00,Success,Soyuz 2.1b,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2021
4096,2021-10-28 00:00:00+00:00,Success,Soyuz 2.1a,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021
4104,2021-12-13 12:07:00+00:00,Partial Failure,Proton-M/Briz-M,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2021
4327,2020-12-15 10:09:00+00:00,Success,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2020
4347,2020-04-22 03:58:00+00:00,Success,Qased,IRGC,"Launch Platform, Shahrud Missile Test Site, Iran",2020
4357,2021-06-02 16:17:00+00:00,Success,Long March 3B/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2021
4359,2020-06-17 07:19:00+00:00,Success,Long March 2D,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020
4358,2020-05-31 08:53:00+00:00,Success,Long March 2D,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020
4363,2020-06-10 18:31:00+00:00,Success,Long March 2C,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020
4569,2020-07-04 21:19:00+00:00,Failure,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2020
4715,2020-09-21 05:40:00+00:00,Success,Long March 4B,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020
4719,2020-07-04 23:44:00+00:00,Success,Long March 2D,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020
4720,2020-07-03 03:10:00+00:00,Success,Long March 4B,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020
4722,2020-07-25 03:13:00+00:00,Success,Long March 4B,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020
4724,2021-07-29 04:01:00+00:00,Success,Long March 2D,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021
4725,2021-03-30 22:45:00+00:00,Success,Long March 4C,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021
4727,2020-11-12 15:59:00+00:00,Success,Long March 3B/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2020
4728,2021-01-19 16:25:00+00:00,Success,Long March 3B/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2021
4731,2020-07-06 01:00:00+00:00,Success,Shavit-2,Israel Aerospace Industries,"Pad 1, Palmachim Airbase, Israel",2020
4733,2020-09-15 01:23:00+00:00,Success,Long March 11H,CASC,"DeBo 3 Barge, Yellow Sea",2020
4735,2020-09-12 05:02:00+00:00,Failure,Kuaizhou 1A,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2020
4737,2021-04-23 09:49:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021
4738,2021-11-11 02:03:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021
4740,2021-02-01 08:15:00+00:00,Failure,Hyperbola-1,i-Space,"Site 95, Jiuquan Satellite Launch Center, China",2021
4741,2020-08-06 04:01:00+00:00,Success,Long March 2D,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020
4744,2020-09-07 05:57:00+00:00,Success,Long March 4B,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020
4747,2021-08-29 07:14:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021
4748,2021-12-21 10:07:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021
4755,2020-08-23 02:27:00+00:00,Success,Long March 2D,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020
4760,2020-08-31 03:05:00+00:00,Success,Electron/Photon,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2020
4878,2020-12-17 10:09:00+00:00,Success,PSLV-XL,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2020
4922,2021-09-27 06:19:00+00:00,Success,Kuaizhou 1A,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2021
4923,2021-10-27 06:19:00+00:00,Success,Kuaizhou 1A,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2021
4924,2021-12-27 19:00:00+00:00,Failure,Angara A5/Persey,VKS RF,"Site 35/1, Plesetsk Cosmodrome, Russia",2021
4953,2021-04-27 03:20:00+00:00,Success,Long March 6,CASC,"LC-16, Taiyuan Satellite Launch Center, China",2021
4988,2020-12-09 20:14:00+00:00,Success,Long March 11,CASC,"Xichang Satellite Launch Center, China",2020
5060,2020-10-28 21:21:00+00:00,Success,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2020
5064,2020-10-26 15:19:00+00:00,Success,Long March 2C,CASC,"LC-3, Xichang Satellite Launch Center, China",2020
5065,2020-09-27 03:23:00+00:00,Success,Long March 4B,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020
5111,2020-10-11 16:57:00+00:00,Success,Long March 3B/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2020
5112,2020-12-19 14:00:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020
5114,2020-11-29 07:25:00+00:00,Success,H-IIA 202,MHI,"LA-Y1, Tanegashima Space Center, Japan",2020
5129,2021-01-29 04:47:00+00:00,Success,Long March 4C,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021
5131,2021-03-11 17:51:00+00:00,Success,Long March 7A,CASC,"LC-201, Wenchang Satellite Launch Center, China",2021
5237,2020-11-20 02:20:00+00:00,Success,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2020
5283,2020-12-15 20:55:00+00:00,Failure,Rocket 3,Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA",2020
5285,2020-12-06 03:58:00+00:00,Success,Long March 3B/E,CASC,"LC-3, Xichang Satellite Launch Center, China",2020
5331,2021-05-09 06:42:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021
5332,2021-05-26 18:59:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021
5341,2021-11-13 12:19:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021
5342,2021-12-02 23:12:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021
5646,2020-12-27 15:44:00+00:00,Success,Long March 4C,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020
5650,2021-10-21 08:00:00+00:00,Failure,KSLV-2,KARI,"LC-1, Naro Space Center, South Korea",2021
5651,2021-02-28 04:54:00+00:00,Success,PSLV-DL,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2021
5659,2021-08-10 22:01:00+00:00,Success,Antares 230+,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2021
5664,2021-01-20 07:26:00+00:00,Success,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2021
5663,2021-02-04 15:36:00+00:00,Success,Long March 3B/E,CASC,"LC-3, Xichang Satellite Launch Center, China",2021
5759,2021-02-02 20:45:00+00:00,Success,Soyuz 2.1b,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2021
5760,2021-11-24 23:41:00+00:00,Success,Kuaizhou 1A,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2021
5761,2021-09-16 00:02:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021
5767,2021-03-22 22:30:00+00:00,Success,Electron/Photon,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2021
6121,2021-02-24 02:22:00+00:00,Success,Long March 4C,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021
6144,2021-06-13 08:11:00+00:00,Success,Pegasus XL,Northrop,"Stargazer, Vandenberg SFB, California, USA",2021
6145,2021-11-25 01:09:00+00:00,Success,Soyuz 2.1b/Fregat,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2021
6148,2021-03-13 02:19:00+00:00,Success,Long March 4C,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021
6755,2021-04-08 23:01:00+00:00,Success,Long March 4B,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2021
6756,2021-05-15 11:11:00+00:00,Failure,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2021
6774,2021-04-30 07:27:00+00:00,Success,Long March 4C,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021
6776,2021-05-06 18:11:00+00:00,Success,Long March 2C/E,CASC,"LC-3, Xichang Satellite Launch Center, China",2021
6777,2021-05-19 04:03:00+00:00,Success,Long March 4B,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021
6787,2021-07-19 00:19:00+00:00,Success,Long March 2C/E,CASC,"LC-3, Xichang Satellite Launch Center, China",2021
6788,2021-06-18 06:30:00+00:00,Success,Long March 2C/E,CASC,"LC-3, Xichang Satellite Launch Center, China",2021
6793,2021-07-04 23:28:00+00:00,Success,Long March 4C,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021
6796,2021-09-14 03:55:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2021
6798,2021-12-18 12:41:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2021
6801,2021-06-11 03:03:00+00:00,Success,Long March 2D,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2021
6813,2021-07-03 02:51:00+00:00,Success,Long March 2D,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2021
6814,2021-08-24 11:15:00+00:00,Success,Long March 2C/YZ-1S,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021
6815,2021-07-06 15:53:00+00:00,Success,Long March 3C/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2021
6817,2021-07-09 11:59:00+00:00,Success,Long March 6,CASC,"LC-16, Taiyuan Satellite Launch Center, China",2021
6819,2021-09-09 19:59:00+00:00,Success,Soyuz 2.1v/Volga,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2021
6820,2021-10-26 02:19:00+00:00,Success,H-IIA 202,MHI,"LA-Y1, Tanegashima Space Center, Japan",2021
6821,2021-08-28 22:35:00+00:00,Failure,Rocket 3,Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA",2021
6822,2021-08-03 07:39:00+00:00,Failure,Hyperbola-1,i-Space,"Site 95, Jiuquan Satellite Launch Center, China",2021
6825,2021-08-04 11:01:00+00:00,Success,Long March 6,CASC,"LC-16, Taiyuan Satellite Launch Center, China",2021
6827,2021-11-18 01:38:00+00:00,Success,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2021
6829,2021-09-09 11:50:00+00:00,Success,Long March 3B/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2021
6830,2021-08-24 15:41:00+00:00,Success,Long March 3B/E,CASC,"LC-3, Xichang Satellite Launch Center, China",2021
6832,2021-08-18 22:32:00+00:00,Success,Long March 4B,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2021
6833,2021-09-07 03:01:00+00:00,Success,Long March 4C,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2021
6834,2021-11-03 07:43:00+00:00,Success,Long March 2C/YZ-1S,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021
6838,2021-10-14 10:51:00+00:00,Success,Long March 2D,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2021
6841,2021-09-27 08:20:00+00:00,Success,Long March 3B/E,CASC,"LC-3, Xichang Satellite Launch Center, China",2021
6848,2021-12-09 00:02:00+00:00,Success,Electron/Curie,Rocket Lab,"Māhia Peninsula, New Zealand",2021
6849,2021-11-20 06:16:00+00:00,Success,Rocket 3,Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA",2021
6851,2021-10-24 01:27:00+00:00,Success,Long March 3B/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2021
6853,2021-11-05 02:19:00+00:00,Success,Long March 6,CASC,"LC-16, Taiyuan Satellite Launch Center, China",2021
6854,2021-11-06 03:00:00+00:00,Success,Long March 2D,CASC,"LC-3, Xichang Satellite Launch Center, China",2021
6855,2021-12-23 10:12:00+00:00,Success,Long March 7A,CASC,"LC-201, Wenchang Satellite Launch Center, China",2021
6856,2021-11-26 16:40:00+00:00,Success,Long March 3B/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2021
6861,2021-11-20 01:51:00+00:00,Success,Long March 4B,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2021
6862,2021-11-22 23:45:00+00:00,Success,Long March 4C,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021
6870,2021-12-07 04:12:00+00:00,Success,Ceres-1,Galactic Energy,"Site 95, Jiuquan Satellite Launch Center, China",2021
6872,2021-12-10 00:11:00+00:00,Success,Long March 4B,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021
6874,2021-12-13 16:09:00+00:00,Success,Long March 3B/E,CASC,"LC-3, Xichang Satellite Launch Center, China",2021
6876,2021-12-15 02:00:00+00:00,Failure,Kuaizhou 1A,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2021
6878,2021-12-26 03:11:00+00:00,Success,Long March 4C,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2021
6882,2021-12-29 16:43:00+00:00,Success,Long March 3B/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2021
6886,2021-12-30 03:30:00+00:00,Failure,Simorgh,Iranian Space Agency,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2021
6885,2021-12-29 11:13:00+00:00,Success,Long March 2D,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021
